item,picture,description,packaging,rating,location,plastic_free
Apples,Apples.jpg,,None,5,Widely Available,TRUE
Arborio Rice,ArborioRice.jpg,,None,5,Specific Bristol Shops,TRUE
Baked Beans,BakedBeans.jpg,,Tin Can,3,Widely Available,TRUE
Balsamic Vinegar,BalsamicVinegar.jpg,,Glass Bottle,3,Widely Available,FALSE
Bananas,Bananas.jpg,,None,5,Widely Available,TRUE
Brown Rice,BrownRice.jpg,,None,5,Specific Bristol Shops,TRUE
Cheese,Cheese.jpg,,Plastic Film,1,Widely Available,FALSE
Chocolate,Chocolate.jpg,,Paper and Cardboard,3,Widely Available,TRUE
Chopped Tomatoes,ChoppedTomatoes.jpg,,Tin Can,3,Widely Available,TRUE
Coconut Oil,CoconutOil.jpg,,Glass Jar,3,Widely Available,FALSE
Cous Cous,CousCous.jpg,,None,5,Specific Bristol Shops,TRUE
Golden Syrup,GoldenSyrup.jpg,,Tin,3,Widely Available,TRUE
Gravy Granules,GravyGranules.jpg,,Cardboard Tube,3,Widely Available,TRUE
Lentils,Lentils.jpg,,None,5,Specific Bristol Shops,TRUE
Mayonnaise,Mayonnaise.jpg,,Glass Jar,3,Widely Available,FALSE
Naan Bread,NaanBread.jpg,,Plastic Film,1,Widely Available,FALSE
Oats,Oats.jpg,,None,5,Specific Bristol Shops,TRUE
Olive Oil,OliveOil.jpg,,Glass Bottle,3,Widely Available,FALSE
Peanut Butter,PeanutButter.jpg,,Glass Jar,3,Widely Available,FALSE
Peanuts,Peanuts.jpg,Red skinned shelled peanuts.,None,5,Specific Bristol Shops,TRUE
Potato Waffles,PotatoWaffles.jpg,,Cardboard Box,3,Widely Available,TRUE
Quinoa,Quinoa.jpg,,None,5,Specific Bristol Shops,TRUE
Rice Crackers,RiceCrackers.jpg,,None,5,Specific Bristol Shops,TRUE
Salt,Salt.jpg,,Plastic Bag,1,Widely Available,FALSE
Soy Milk,SoyMilk.jpg,,TetraPak,2,Widely Available,FALSE
Soy Sauce,SoySauce.jpg,,Glass Bottle,3,Widely Available,FALSE
Spaghetti,Spaghetti.jpg,,Plastic Film,1,Widely Available,FALSE
Squash,Squash.jpg,,Glass Bottle,3,Widely Available,FALSE
Stock Cubes,StockCubes.jpg,,Foil in Cardboard Box,3,Widely Available,TRUE
Tea,Tea.jpg,,None,5,Specific Bristol Shops,TRUE
Toilet Paper,ToiletPaper.jpg,,Paper and Cardboard,3,Online Only,TRUE
White Rice,WhiteRice.jpg,,None,5,Specific Bristol Shops,TRUE
White Vinegar,WhiteVinegar.jpg,,Glass Bottle,3,Widely Available,FALSE
Yeast,Yeast.jpg,,Plastic Sachets in Cardboard Box,1,Widely Available,FALSE